Latitude,Longitude,Elevation
4315N,00608E,81
4306N,00609E,4
4300N,00614E,147
4312N,00629E,18
4323N,00623E,78
4312N,00641E,112
4302N,00628E,131
4325N,00645E,6
4333N,00657E,9
4334N,00708E,82
4339N,00712E,10
4341N,00720E,144
4229N,00159E,1432
4227N,00200E,1328
4244N,00252E,48
4231N,00308E,86
4155N,00837E,40
4238N,00855E,129
4232N,00848E,58
4155N,00848E,9
4155N,00924E,22
4136N,00922E,68
4122N,00911E,110
4130N,00906E,23
4300N,00922E,111
4233N,00929E,12
4248N,00929E,120
4322N,00825W,67
4318N,00823W,103
4329N,00819W,240
4329N,00814W,9
4307N,00727W,446
4333N,00602W,134
4332N,00538W,10
4321N,00552W,339
4326N,00349W,1
4328N,00349W,65
4318N,00256W,34
4318N,00203W,259
4321N,00148W,8
4254N,00826W,367
4224N,00842W,14
4226N,00839W,19
4213N,00838W,256
4214N,00844W,85
4220N,00752W,127
4232N,00635W,544
4235N,00539W,914
4222N,00338W,891
4253N,00244W,509
4227N,00220W,363
4246N,00138W,459
4212N,00127W,295
4234N,00308W,828
4205N,00020W,554
4247N,00032W,1608
4212N,00052E,800
4220N,00156E,1702
4130N,00544W,660
4143N,00451W,854
4139N,00446W,735
4146N,00228W,1083
4107N,00125W,781
4140N,00101W,258
4140N,00103W,263
4137N,00038E,199
4109N,00110E,76
4107N,00115E,64
4131N,00206E,250
4117N,00204E,6
4147N,00226E,1708
4154N,00246E,129
4057N,00530W,795
4040N,00431W,1131
4057N,00407W,1005
4047N,00401W,1888
4027N,00343W,669
4027N,00333W,582
4023N,00347W,687
4018N,00343W,612
4038N,00310W,640
4029N,00328W,608
4004N,00208W,956
4051N,00153W,1063
4052N,00118W,899
4020N,00106W,916
4049N,00030E,50
3928N,00620W,405
3953N,00403W,516
3857N,00151W,704
3930N,00028W,62
3929N,00023W,11
3957N,00004W,35
3909N,00026W,20
3933N,00237E,6
3944N,00243E,1015
3933N,00244E,8
3954N,00306E,7
3952N,00414E,82
3853N,00649W,192
3831N,00507W,534
3859N,00355W,629
3822N,00030W,82
3817N,00033W,31
3839N,00016W,1497
3852N,00123E,12
3717N,00655W,20
3722N,00600W,14
3725N,00554W,31
3709N,00537W,88
3751N,00450W,92
3747N,00348W,569
3711N,00347W,559
3708N,00338W,686
3757N,00114W,75
3800N,00110W,62
3735N,00100W,217
3747N,00048W,3
3639N,00621W,26
3645N,00604W,30
3600N,00536W,37
3640N,00429W,7
3651N,00223W,21
3556N,00302W,19
3609N,00521W,5
3927N,03108W,29
3831N,02843W,41
3831N,02838W,62
3845N,02705W,55
3846N,02706W,55
3840N,02713W,76
3744N,02542W,72
3745N,02540W,36
3658N,02510W,100
3241N,01646W,55
3238N,01654W,56
3304N,01621W,82
3921N,00924W,34
3850N,00920W,130
3842N,00903W,11
3843N,00909W,95
3847N,00908W,123
3700N,00857W,25
3907N,00859W,49
3950N,00853W,54
3757N,00852W,103
4142N,00848W,18
4114N,00841W,73
4108N,00836W,100
4012N,00825W,140
3929N,00826W,80
3701N,00758W,4
3834N,00754W,321
3832N,00754W,246
3801N,00752W,247
4116N,00743W,562
4025N,00733W,1388
3950N,00729W,384
3917N,00725W,590
4148N,00644W,692
3846N,00908W,105
1653N,02500W,63
1454N,02331W,35
1644N,02257W,55
5410N,00621E,0
5400N,00807E,0
5411N,00726E,0
5411N,00754E,8
5455N,00821E,20
5501N,00825E,29
5448N,00857E,17
5431N,00909E,37
5427N,00931E,22
5450N,00930E,33
5438N,00921E,22
5432N,00933E,48
5428N,00931E,25
5419N,00932E,17
5440N,01002E,10
5430N,01017E,23
5423N,01009E,31
5423N,01010E,31
5423N,01011E,11
5430N,01113E,3
5430N,01114E,5
5441N,01326E,41
5422N,01329E,34
5343N,00709E,16
5411N,00753E,53
5332N,00753E,21
5348N,00754E,29
5352N,00808E,31
5330N,00803E,5
5333N,00740E,12
5336N,00803E,1
5332N,00835E,11
5404N,00901E,5
5352N,00842E,12
5346N,00840E,31
5330N,00910E,5
5400N,00935E,26
5405N,00956E,21
5339N,00942E,7
5344N,00953E,17
