Latitude,Longitude,Distance
83.02,-45.86,0.407223
83.02,-41.86,0.411573
83.02,-41.82,0.0838047
83.02,-41.7,0.223303
83.02,-41.66,0.219448
83.02,-41.06,0.0992656
83.02,-41.02,0.432056
83.02,-40.9,0.205477
83.02,-40.86,0.302215
83.02,-40.58,0.301423
83.02,-40.54,0.150661
83.02,-40.18,0.33678
83.02,-40.14,0.0464797
83.02,-40.1,0.0601977
83.02,-40.06,0.0735385
83.02,-40.02,0.0865044
83.02,-39.98,0.101445
83.02,-39.94,0.118405
83.02,-39.9,0.134988
83.02,-39.86,0.151197
83.02,-39.82,0.167029
83.02,-39.78,0.182485
83.02,-39.74,0.197564
83.02,-39.7,0.212268
83.02,-39.66,0.226596
83.02,-39.62,0.240549
83.02,-39.58,0.254123
83.02,-39.54,0.267323
83.02,-39.5,0.280147
83.02,-39.46,0.292595
83.02,-39.42,0.304667
83.02,-39.38,0.316361
83.02,-39.34,0.327681
83.02,-39.3,0.338624
83.02,-39.26,0.349191
83.02,-39.22,0.380604
83.02,-38.74,0.413363
83.02,-38.7,0.107934
83.02,-38.66,0.197806
83.02,-38.54,0.309552
83.02,-38.5,0.0174567
83.02,-38.46,0.344765
83.02,-34.38,0.280683
83.02,-34.34,0.00940948
83.02,-34.3,0.261539
83.02,-32.86,0.153987
83.02,-32.82,0.219119
83.02,-25.7,0.364666
83.02,-25.66,0.115655
82.98,-77.7,0.484865
82.98,-77.66,0.0572251
82.98,-67.94,0.413597
82.98,-67.9,0.318611
82.98,-67.86,0.223254
82.98,-67.82,0.127524
82.98,-67.78,0.0314209
82.98,-67.74,0.0650541
82.98,-67.7,0.161901
82.98,-67.66,0.259102
82.98,-67.62,0.356694
82.98,-67.58,0.454658
82.98,-47.18,0.468197
82.98,-47.14,0.324873
82.98,-47.1,0.181185
82.98,-47.06,0.0371448
82.98,-47.02,0.149625
82.98,-46.06,0.494725
82.98,-46.02,0.113478
82.98,-45.98,0.26804
82.98,-45.42,0.412986
82.98,-45.38,0.0426874
82.98,-45.34,0.327924
82.98,-41.7,0.247067
82.98,-41.66,0.251752
82.98,-40.26,0.281028
82.98,-40.22,0.247839
82.98,-35.18,0.407469
82.98,-35.14,0.0145754
82.98,-35.1,0.43638
82.98,-34.5,0.33056
82.98,-34.46,0.20336
82.98,-34.42,0.121512
82.98,-34.38,0.0400456
82.98,-34.34,0.0410545
82.98,-34.3,0.12178
82.98,-34.26,0.202132
82.98,-34.22,0.282102
82.98,-34.18,0.361706
82.98,-34.14,0.440935
82.98,-33.18,0.229774
82.98,-33.14,0.306426
82.98,-33.06,0.341729
82.98,-33.02,0.20097
82.98,-25.78,0.0590109
82.98,-25.74,0.438099
82.94,-79.98,0.436664
82.94,-79.94,0.19003
82.94,-79.9,0.0562629
82.94,-79.86,0.302216
82.94,-79.22,0.411655
82.94,-79.18,0.118841
82.94,-79.14,0.200304
82.94,-79.02,0.0124655
82.94,-78.98,0.445271
82.94,-78.14,0.155838
82.94,-78.1,0.370438
82.94,-78.02,0.198789
82.94,-77.98,0.219193
82.94,-66.5,0.383771
82.94,-66.46,0.142082
82.94,-66.42,0.0999483
82.94,-66.38,0.34232
82.94,-48.1,0.461751
82.94,-48.06,0.438861
82.94,-48.02,0.416349
82.94,-47.98,0.48976
82.94,-47.5,0.254548
82.94,-47.46,0.138567
82.94,-47.06,0.484613
82.94,-47.02,0.101863
82.94,-46.98,0.28116
82.94,-46.94,0.412303
82.94,-46.9,0.0909796
82.94,-46.02,0.334104
82.94,-45.98,0.20208
82.94,-45.86,0.0535926
82.94,-45.82,0.426235
82.94,-45.38,0.259336
82.94,-45.34,0.0375161
82.94,-45.3,0.334688
82.94,-45.06,0.334836
82.94,-45.02,0.0401061
82.94,-44.98,0.415326
82.94,-44.42,0.251915
82.94,-44.38,0.161014
82.94,-44.34,0.352558
82.94,-44.3,0.18985
82.94,-40.42,0.304794
82.94,-40.38,0.116667
82.94,-40.1,0.414155
82.94,-40.06,0.0435775
82.94,-36.5,0.416626
82.94,-36.46,0.307238
82.94,-36.42,0.198223
82.94,-36.38,0.0895916
82.94,-36.34,0.0186774
82.94,-36.3,0.126574
82.94,-36.26,0.234097
82.94,-36.22,0.341236
82.94,-36.18,0.448013
82.94,-35.02,0.444961
82.94,-34.98,0.0397532
82.94,-33.1,0.00405376
82.94,-33.06,0.148364
82.94,-25.94,0.213754
82.94,-25.9,0.286801
82.9,-80.34,0.131183
82.9,-80.3,0.26896
82.9,-79.06,0.113696
82.9,-79.02,0.226888
82.9,-78.98,0.221392
82.9,-78.38,0.454349
82.9,-78.26,0.470875
82.9,-78.22,0.058694
82.9,-78.02,0.0659516
82.9,-77.98,0.436414
82.9,-66.46,0.412048
82.9,-66.42,0.0241947
82.9,-66.38,0.460672
82.9,-65.06,0.33815
82.9,-65.02,0.0600852
82.9,-64.98,0.218643
82.9,-64.94,0.498642
82.9,-64.78,0.348026
82.9,-64.74,0.105111
82.9,-64.7,0.138147
82.9,-64.66,0.381702
82.9,-47.86,0.200392
82.9,-47.82,0.19775
82.9,-47.62,0.490662
82.9,-47.58,0.183662
82.9,-47.54,0.123684
82.9,-47.3,0.13568
82.9,-47.26,0.375663
82.9,-45.94,0.41352
82.9,-45.9,0.0674592
82.9,-45.78,0.285456
82.9,-45.74,0.175368
82.9,-40.14,0.17009
82.9,-40.1,0.379228
82.9,-39.9,0.230731
82.9,-39.86,0.318351
82.9,-36.58,0.496928
82.9,-36.54,0.0317597
82.9,-36.5,0.433203
82.9,-36.34,0.133339
82.9,-36.3,0.284748
82.9,-35.22,0.298403
82.9,-35.18,0.163785
82.9,-35.1,0.309304
82.9,-35.06,0.24021
82.9,-26.1,0.393574
82.9,-26.06,0.110429
82.9,-25.54,0.444856
82.9,-25.5,0.365563
82.9,-25.46,0.311988
82.9,-25.42,0.258796
82.9,-25.38,0.205982
82.9,-25.34,0.153552
82.9,-25.3,0.1015
82.9,-25.26,0.32915
82.9,-25.22,0.18116
82.9,-25.18,0.320753
82.9,-25.1,0.157921
82.9,-25.06,0.364781
82.9,-24.98,0.127319
82.9,-24.94,0.300124
82.9,-24.74,0.429964
82.9,-24.7,0.0329474
82.9,-24.66,0.495673
82.86,-80.94,0.481482
82.86,-80.9,0.21683
82.86,-80.86,0.0394731
82.86,-80.82,0.137519
82.86,-80.78,0.314146
82.86,-80.74,0.490409
82.86,-78.42,0.27774
82.86,-78.38,0.261485
82.86,-78.26,0.122908
82.86,-78.22,0.177257
82.86,-78.18,0.241466
82.86,-78.06,0.108626
82.86,-78.02,0.0507843
82.86,-66.58,0.269947
82.86,-66.54,0.181605
82.86,-65.3,0.48669
82.86,-65.26,0.067229
82.86,-65.22,0.323175
82.86,-64.94,0.465792
82.86,-64.9,0.00722021
82.86,-64.86,0.0168848
82.86,-64.82,0.00253112
82.86,-64.78,0.011438
82.86,-64.74,0.0250227
82.86,-64.7,0.0382228
82.86,-64.66,0.370281
82.86,-64.5,0.442242
82.86,-64.46,0.347772
82.86,-49.14,0.290664
82.86,-49.1,0.262948
82.86,-48.62,0.397997
82.86,-48.58,0.120105
82.86,-48.54,0.158147
82.86,-48.5,0.436731
82.86,-47.66,0.307182
82.86,-47.62,0.192777
82.86,-47.34,0.162934
82.86,-47.3,0.295011
82.86,-47.02,0.302331
82.86,-46.98,0.049822
82.86,-46.94,0.402272
82.86,-46.74,0.48891
82.86,-46.7,0.456678
82.86,-46.66,0.424829
82.86,-46.62,0.393365
82.86,-46.58,0.362287
82.86,-46.54,0.331591
82.86,-46.5,0.301278
82.86,-46.46,0.0940126
82.86,-46.42,0.452836
82.86,-46.34,0.148277
82.86,-46.3,0.116852
82.86,-46.26,0.134685
82.86,-46.22,0.152132
82.86,-46.18,0.169196
82.86,-46.14,0.185876
82.86,-46.1,0.202171
82.86,-46.06,0.218081
82.86,-46.02,0.233607
82.86,-45.98,0.248749
82.86,-45.94,0.263507
82.86,-45.9,0.277878
82.86,-45.86,0.291867
82.86,-45.82,0.305471
82.86,-45.78,0.31869
