"Latitude","Longitude","Elevation"
4345,425,96
4331,456,24
4336,506,60
4330,522,111
4327,514,36
4316,518,73
4320,503,35
4311,535,332
4403,529,837
4306,556,27
4305,556,136
4315,608,81
4306,609,4
4300,614,147
4312,629,18
4323,623,78
4312,641,112
4302,628,131
4325,645,6
4333,657,9
4334,708,82
4339,712,10
4341,720,144
4229,159,1432
4227,200,1328
4244,252,48
4231,308,86
4155,837,40
4238,855,129
4232,848,58
4155,848,9
4155,924,22
4136,922,68
4122,911,110
4130,906,23
4300,922,111
4233,929,12
4248,929,120
4322,-825,67
4318,-823,103
4329,-819,240
4329,-814,9
4307,-727,446
4333,-602,134
4332,-538,10
4321,-552,339
4326,-349,1
4328,-349,65
4318,-256,34
4318,-203,259
4321,-148,8
4254,-826,367
4224,-842,14
4226,-839,19
4213,-838,256
4214,-844,85
4220,-752,127
4232,-635,544
4235,-539,914
4222,-338,891
4253,-244,509
4227,-220,363
4246,-138,459
4212,-127,295
4234,-308,828
4205,-20,554
4247,-32,1608
4212,52,800
4220,156,1702
4130,-544,660
4143,-451,854
4139,-446,735
4146,-228,1083
4107,-125,781
4140,-101,258
4140,-103,263
4137,38,199
4109,110,76
4107,115,64
4131,206,250
4117,204,6
4147,226,1708
4154,246,129
4057,-530,795
4040,-431,1131
4057,-407,1005
4047,-401,1888
4027,-343,669
4027,-333,582
4023,-347,687
4018,-343,612
4038,-310,640
4029,-328,608
4004,-208,956
4051,-153,1063
4052,-118,899
4020,-106,916
4049,30,50
3928,-620,405
3953,-403,516
3857,-151,704
3930,-28,62
3929,-23,11
3957,-4,35
3909,-26,20
3933,237,6
3944,243,1015
3933,244,8
3954,306,7
3952,414,82
3853,-649,192
3831,-507,534
3859,-355,629
3822,-30,82
3817,-33,31
3839,-16,1497
3852,123,12
3717,-655,20
3722,-600,14
3725,-554,31
3709,-537,88
3751,-450,92
3747,-348,569
3711,-347,559
3708,-338,686
3757,-114,75
3800,-110,62
3735,-100,217
3747,-48,3
3639,-621,26
3645,-604,30
3600,-536,37
3640,-429,7
3651,-223,21
3556,-302,19
3609,-521,5
3927,-3108,29
3831,-2843,41
3831,-2838,62
3845,-2705,55
3846,-2706,55
3840,-2713,76
3744,-2542,72
3745,-2540,36
3658,-2510,100
3241,-1646,55
3238,-1654,56
3304,-1621,82
3921,-924,34
3850,-920,130
3842,-903,11
3843,-909,95
3847,-908,123
3700,-857,25
3907,-859,49
3950,-853,54
3757,-852,103
4142,-848,18
4114,-841,73
4108,-836,100
4012,-825,140
3929,-826,80
3701,-758,4
3834,-754,321
3832,-754,246
3801,-752,247
4116,-743,562
4025,-733,1388
3950,-729,384
3917,-725,590
4148,-644,692
3846,-908,105
1653,-2500,63
1454,-2331,35
1644,-2257,55
5410,621,0
5400,807,0
5411,726,0
5411,754,8
5455,821,20
5501,825,29
5448,857,17
5431,909,37
5427,931,22
5450,930,33
5438,921,22
5432,933,48
5428,931,25
5419,932,17
5440,1002,10
5430,1017,23
5423,1009,31
5423,1010,31
5423,1011,11
5430,1113,3
5430,1114,5
5441,1326,41
5422,1329,34
5343,709,16
5411,753,53
5332,753,21
5348,754,29
5352,808,31
5330,803,5
5333,740,12
5336,803,1
5332,835,11
5404,901,5
5352,842,12
5346,840,31
5330,910,5
5400,935,26
5405,956,21
5339,942,7
5344,953,17
5338,1000,16
5332,950,13
5405,1053,2
5349,1042,15
5400,1112,17
5338,1125,68
5336,1206,58
5411,1205,10
5355,1217,40
5346,1237,50
5422,1244,7
5422,1305,4
5406,1324,6
5345,1404,7
5353,1409,28
5321,713,5
5321,712,12
5311,810,20
5316,841,37
5253,814,56
5303,848,5
5309,837,30
5308,921,61
5300,950,78
5249,956,69
5255,1011,88
5324,1041,46
5258,1108,18
5254,1144,23
5319,1156,87
5256,1225,40
5331,1240,71
5254,1249,39
5312,1231,74
5344,1256,53
5309,1302,62
5333,1312,80
5336,1319,71
5328,1337,118
5319,1356,57
5302,1400,55
5243,719,26
5231,719,26
5218,723,49
5227,710,26
5220,733,43
5208,742,52
5215,803,97
5207,817,305
5155,818,72
5235,821,43
5206,845,100
5157,854,187
5227,926,70
5217,905,78
5211,957,88
5228,942,54
5236,1001,52
5218,1027,88
5210,1111,163
5231,1124,48
5207,1135,85
5223,1210,39
5207,1228,187
5226,1227,31
5207,1337,57
5222,1305,89
5223,1304,100
5228,1318,58
5234,1319,37
5229,1308,49
5228,1324,49
5223,1331,48
5231,1325,84
5213,1407,112
5237,1414,10
5233,1433,16
5117,647,44
5112,608,76
5145,617,43
5136,609,31
5150,632,24
5124,658,161
5131,737,127
5115,739,392
5112,738,431
5137,837,213
5135,813,125
5111,829,859
5147,850,158
5151,919,493
5130,911,225
5124,923,285
5108,918,223
5118,927,233
5108,917,181
5133,957,173
5124,1019,356
5144,1036,610
5148,1037,1153
5151,1046,240
5146,1040,617
5139,1108,405
5123,1118,166
5131,1157,93
5125,1214,149
5119,1225,146
5153,1239,106
5146,1311,79
5118,1306,152
5107,1341,232
5108,1347,226
5139,1335,100
5146,1418,67
5140,1438,100
5147,1419,69
5110,1457,238
5058,603,98
5047,606,205
5050,640,135
5049,611,191
5021,652,486
5059,654,49
5020,657,629
5052,710,99
5022,719,191
5025,735,132
5042,709,64
5042,702,160
5044,712,168
5040,758,555
5035,842,195
5020,844,146
5036,844,152
5049,908,350
5033,939,305
5052,943,272
5030,957,925
5038,1009,494
5034,1023,453
5037,1040,505
5039,1046,942
5059,1058,323
5030,1108,850
5023,1111,630
5034,1149,502
5105,1156,263
5053,1208,312
5029,1208,389
5026,1237,899
5036,1243,397
5048,1252,419
5026,1257,1215
5039,1309,640
5044,1345,882
5056,1413,300
4959,642,365
4945,640,273
5010,704,486
4926,736,238
4946,703,483
4939,711,547
4957,716,498
4958,707,252
4942,720,377
4939,718,426
4951,736,396
4951,753,103
4959,757,120
5003,820,141
5007,907,475
5013,827,802
5003,836,113
5002,834,111
5011,839,104
5001,840,135
5007,844,112
5010,858,112
5017,905,130
4954,926,581
4943,906,455
4939,958,298
4946,958,268
4945,930,338
5012,1005,266
5012,1007,357
4945,1012,210
5017,1059,337
4953,1055,243
4959,1138,498
5019,1153,568
4942,1157,415
4935,1055,329
4935,1102,282
4940,1211,439
4917,641,367
4929,703,398
4913,707,320
4930,752,321
4913,724,345
4913,737,415
4923,807,557
4848,811,126
4902,822,145
4934,828,94
4931,833,100
