Latitude,Longitude,Elevation
48.51,-3,36
48.35,-2.04,59
48.43,-1.51,41
48.04,-1.44,37
48.5,-1.37,42
48.02,-0.44,101
48.27,0.07,141
48.03,1.23,127
48.28,1.31,156
48.46,2.01,168
48.46,1.06,161
48.46,2.12,179
48.36,2.2,85
48.44,2.24,96
48.58,2.27,65
48.5,2.2,75
48.37,2.41,92
48.49,2.2,77
49.01,2.32,109
48.36,-3.49,86
48.47,4.11,179
48.2,4.01,118
48.38,4.54,140
48.45,5.24,316
48.12,6.26,317
48.47,5.29,298
48.41,6.13,217
48.35,5.58,350
48.33,7.38,154
47.55,7.24,217
47.48,-4.22,22
47.58,-4.1,94
47.39,-3.3,54
47.46,-3.27,44
47.18,-3.13,43
47.38,-2.45,11
47.19,-2.1,4
47.1,-1.36,27
47.3,-0.34,58
47.56,0.12,52
47.27,0.43,112
47.19,1.41,86
47.59,1.45,125
47.04,2.22,166
47.03,2.39,179
47,3.06,181
47.48,3.33,212
47.04,3.56,605
47.51,4.33,264
47.16,5.05,227
47.5,5.19,462
47.2,5.31,208
47.15,5.59,309
47.47,6.21,273
47.38,6.52,423
47.42,6.33,317
47.36,7.31,271
46.42,-2.2,48
46.42,-1.23,91
46.15,-1.34,10
46.02,-1.25,22
46.09,-1.09,10
46.19,-0.24,61
46.35,0.19,120
46.51,1.43,157
0,0,551
46.13,2.22,415
46.1,3.24,251
46.25,4.01,244
46.39,4.26,603
46.18,4.48,217
46.41,5.31,280
46.34,6.02,928
46.54,6.2,817
45.42,-1.14,7
45.4,-0.19,31
45.44,0.13,133
45.12,0.49,97
45.52,1.11,402
45.09,1.28,117
45.47,3.1,330
45.05,3.46,833
45.32,4.18,402
45.56,4.23,730
45.43,4.57,201
45.44,5.05,240
45.59,5.2,257
45.22,5.2,386
45.39,5.53,239
45.56,6.06,463
45.52,6.37,950
45.13,6.43,1104
45.37,6.46,868
44.38,-1.15,10
44.32,-1.08,33
44.26,-1.15,39
44.5,-0.42,61
44.11,-0.17,133
44.11,0.36,60
44.49,0.31,52
44.45,1.24,264
44.21,1.29,278
44.54,2.25,639
44.24,2.29,580
44.32,3.27,934
44.11,2.31,1020
44.07,3.01,720
44.07,3.35,1565
44.3,3.32,1024
44.35,4.44,74
44.08,4.5,55
44.05,5.03,105
44.41,5.43,1038
44.04,6,461
44.34,6.05,733
44.34,6.3,876
44.55,6.39,1336
43.24,1.41,47
43.28,-1.32,71
43.41,-1.04,32
43.55,-0.3,63
43.23,-0.25,185
43.11,0,363
43.41,0.36,128
43,1.06,412
43.27,1.16,189
43.38,1.22,153
43.32,1.22,166
43.55,2.07,178
43.13,2.19,130
43.24,3.41,81
43.19,3.21,17
43.35,3.58,6
43.52,4.24,62
43.45,4.25,96
43.31,4.56,24
43.36,5.06,60
43.3,5.22,111
43.27,5.14,36
43.16,5.18,73
43.2,5.03,35
43.11,5.35,332
44.03,5.29,837
43.06,5.56,27
43.05,5.56,136
43.15,6.08,81
43.06,6.09,4
43,6.14,147
43.12,6.29,18
43.23,6.23,78
43.12,6.41,112
43.02,6.28,131
43.25,6.45,6
43.33,6.57,9
43.34,7.08,82
43.39,7.12,10
43.41,7.2,144
42.29,1.59,1432
42.27,2,1328
42.44,2.52,48
42.31,3.08,86
41.55,8.37,40
42.38,8.55,129
42.32,8.48,58
41.55,8.48,9
41.55,9.24,22
41.36,9.22,68
41.22,9.11,110
41.3,9.06,23
43,9.22,111
42.33,9.29,12
42.48,9.29,120
43.22,-8.25,67
43.18,-8.23,103
43.29,-8.19,240
43.29,-8.14,9
43.07,-7.27,446
43.33,-6.02,134
43.32,-5.38,10
43.21,-5.52,339
43.26,-3.49,1
43.28,-3.49,65
43.18,-2.56,34
43.18,-2.03,259
43.21,-1.48,8
42.54,-8.26,367
42.24,-8.42,14
42.26,-8.39,19
42.13,-8.38,256
42.14,-8.44,85
42.2,-7.52,127
42.32,-6.35,544
42.35,-5.39,914
42.22,-3.38,891
42.53,-2.44,509
42.27,-2.2,363
42.46,-1.38,459
42.12,-1.27,295
42.34,-3.08,828
42.05,-0.2,554
42.47,-0.32,1608
42.12,0.52,800
42.2,1.56,1702
41.3,-5.44,660
41.43,-4.51,854
41.39,-4.46,735
41.46,-2.28,1083
41.07,-1.25,781
41.4,-1.01,258
41.4,-1.03,263
41.37,0.38,199
41.09,1.1,76
41.07,1.15,64
41.31,2.06,250
41.17,2.04,6
41.47,2.26,1708
41.54,2.46,129
40.57,-5.3,795
40.4,-4.31,1131
40.57,-4.07,1005
40.47,-4.01,1888
40.27,-3.43,669
40.27,-3.33,582
40.23,-3.47,687
40.18,-3.43,612
40.38,-3.1,640
40.29,-3.28,608
40.04,-2.08,956
40.51,-1.53,1063
40.52,-1.18,899
40.2,-1.06,916
40.49,0.3,50
39.28,-6.2,405
39.53,-4.03,516
38.57,-1.51,704
39.3,-0.28,62
39.29,-0.23,11
39.57,-0.04,35
39.09,-0.26,20
39.33,2.37,6
39.44,2.43,1015
39.33,2.44,8
39.54,3.06,7
39.52,4.14,82
38.53,-6.49,192
38.31,-5.07,534
38.59,-3.55,629
38.22,-0.3,82
38.17,-0.33,31
38.39,-0.16,1497
38.52,1.23,12
37.17,-6.55,20
37.22,-6,14
37.25,-5.54,31
37.09,-5.37,88
37.51,-4.5,92
37.47,-3.48,569
37.11,-3.47,559
37.08,-3.38,686
37.57,-1.14,75
38,-1.1,62
37.35,-1,217
37.47,-0.48,3
36.39,-6.21,26
36.45,-6.04,30
36,-5.36,37
36.4,-4.29,7
36.51,-2.23,21
35.56,-3.02,19
36.09,-5.21,5
39.27,-31.08,29
38.31,-28.43,41
38.31,-28.38,62
38.45,-27.05,55
38.46,-27.06,55
38.4,-27.13,76
37.44,-25.42,72
37.45,-25.4,36
36.58,-25.1,100
32.41,-16.46,55
32.38,-16.54,56
33.04,-16.21,82
39.21,-9.24,34
38.5,-9.2,130
38.42,-9.03,11
38.43,-9.09,95
38.47,-9.08,123
37,-8.57,25
39.07,-8.59,49
39.5,-8.53,54
37.57,-8.52,103
41.42,-8.48,18
41.14,-8.41,73
41.08,-8.36,100
40.12,-8.25,140
39.29,-8.26,80
37.01,-7.58,4
38.34,-7.54,321
38.32,-7.54,246
38.01,-7.52,247
41.16,-7.43,562
40.25,-7.33,1388
39.5,-7.29,384
